epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.622493e+02,5.285524e+04,5.119897e+00,3.640264e+03,4.188227
0.200000,9.493481e+01,1.563282e+04,2.659256e+00,9.211608e+02,4.978227
0.300000,6.617068e+01,7.260864e+03,1.980041e+00,4.752578e+02,5.498227
0.400000,5.042742e+01,4.181844e+03,1.327757e+00,2.201013e+02,5.898227
0.500000,3.885564e+01,2.555311e+03,1.135397e+00,1.579116e+02,6.248227
0.600000,3.119029e+01,1.684402e+03,9.384646e-01,1.038311e+02,6.558227
0.700000,2.551626e+01,1.133843e+03,7.185489e-01,7.222760e+01,6.848227
0.800000,2.209211e+01,8.463824e+02,6.843980e-01,5.923754e+01,7.068227
0.900000,2.207730e+01,8.473068e+02,6.636586e-01,5.722569e+01,7.068227
1.000000,2.208254e+01,8.489177e+02,7.018357e-01,5.951151e+01,7.068227
1.200000,2.200438e+01,8.414098e+02,6.727927e-01,5.488028e+01,7.068227
1.400000,2.218213e+01,8.543339e+02,7.182907e-01,6.145237e+01,7.068227
1.600000,2.214723e+01,8.515851e+02,6.975999e-01,5.841158e+01,7.068227
1.800000,2.207362e+01,8.474611e+02,7.418306e-01,6.816465e+01,7.068227
2.000000,2.216474e+01,8.481637e+02,6.416388e-01,5.661824e+01,7.068227
3.000000,2.207874e+01,8.470107e+02,5.966191e-01,5.235520e+01,7.068227
4.000000,2.215045e+01,8.536099e+02,6.323108e-01,5.552684e+01,7.068227
5.000000,2.211354e+01,8.533869e+02,7.714763e-01,6.549483e+01,7.068227
6.000000,2.222253e+01,8.623030e+02,6.083834e-01,5.732792e+01,7.068227
7.000000,2.208486e+01,8.452668e+02,7.606014e-01,6.544955e+01,7.068227
8.000000,1.295246e+01,2.897702e+02,4.072093e-01,2.207108e+01,8.000000
9.000000,7.542296e+00,1.016408e+02,2.276633e-01,7.487258e+00,9.000000
10.000000,4.330940e+00,3.415689e+01,1.286467e-01,2.674773e+00,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
