epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.866063e+02,4.502620e+07,2.124219e+02,1.509661e+08,0.100000
0.200000,7.303932e+02,4.216179e+06,4.258407e+01,2.012366e+07,0.200000
0.300000,7.364375e+02,5.155768e+06,4.736679e+01,1.407682e+07,0.300000
0.400000,7.290809e+02,2.541149e+06,2.039544e+01,4.940930e+06,0.400000
0.500000,7.330025e+02,3.058242e+06,2.544229e+01,4.823015e+06,0.500000
0.600000,7.259129e+02,1.649407e+06,8.664817e+00,1.379602e+06,0.600000
0.700000,7.268299e+02,1.735356e+06,9.630818e+00,1.296537e+06,0.700000
0.800000,7.258949e+02,1.592674e+06,6.678569e+00,8.079412e+05,0.800000
0.900000,7.266589e+02,1.616110e+06,8.771883e+00,8.009111e+05,0.900000
1.000000,7.276493e+02,1.708017e+06,9.078338e+00,7.588915e+05,1.000000
1.200000,7.265165e+02,1.576352e+06,5.768928e+00,3.690682e+05,1.200000
1.400000,7.249158e+02,1.509620e+06,4.677723e+00,2.334424e+05,1.400000
1.600000,7.195498e+02,1.466418e+06,8.962838e+00,1.380398e+05,1.600000
1.800000,7.100445e+02,1.411963e+06,1.467107e+01,1.179616e+05,1.800000
2.000000,6.877351e+02,1.290247e+06,1.901687e+01,1.113912e+05,2.000000
3.000000,4.177674e+02,4.143607e+05,1.624399e+01,3.471177e+04,3.000000
4.000000,1.866804e+02,7.251747e+04,6.562399e+00,5.257735e+03,4.000000
5.000000,9.418429e+01,1.541952e+04,2.634198e+00,9.524482e+02,5.000000
6.000000,4.677632e+01,3.627125e+03,1.285501e+00,1.976769e+02,6.000000
7.000000,2.292568e+01,9.127943e+02,6.365757e-01,5.906867e+01,7.000000
8.000000,1.295246e+01,2.897702e+02,4.072093e-01,2.207108e+01,8.000000
9.000000,7.542296e+00,1.016408e+02,2.276633e-01,7.487258e+00,9.000000
10.000000,4.330940e+00,3.415689e+01,1.286467e-01,2.674773e+00,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
