epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,8.909251e+03,5.554065e+08,2.480580e+02,7.206328e+08,0.100000
0.200000,8.851524e+03,4.608594e+08,1.416865e+02,2.352489e+08,0.200000
0.300000,8.728857e+03,4.172060e+08,3.256065e+02,1.018261e+08,0.300000
0.400000,8.142894e+03,3.097487e+08,5.653663e+02,7.823817e+07,0.400000
0.500000,7.480089e+03,2.212103e+08,4.466043e+02,6.856901e+07,0.500000
0.600000,7.166316e+03,1.769418e+08,1.707221e+02,2.993543e+07,0.600000
0.700000,7.054705e+03,1.681025e+08,1.997093e+02,1.605930e+07,0.700000
0.800000,6.780392e+03,1.527032e+08,2.959810e+02,1.455255e+07,0.800000
0.900000,6.446322e+03,1.376961e+08,3.596649e+02,1.563680e+07,0.900000
1.000000,5.892822e+03,1.129014e+08,3.105427e+02,1.313905e+07,1.000000
1.200000,4.921028e+03,7.484326e+07,2.780771e+02,8.342091e+06,1.200000
1.400000,4.006641e+03,4.811585e+07,2.385088e+02,6.231612e+06,1.400000
1.600000,3.216306e+03,2.877311e+07,1.808809e+02,4.172882e+06,1.600000
1.800000,2.742607e+03,1.932523e+07,1.467984e+02,2.194161e+06,1.800000
2.000000,2.382821e+03,1.390869e+07,1.252783e+02,1.486824e+06,2.000000
3.000000,1.048105e+03,2.233996e+06,4.765311e+01,2.127941e+05,3.000000
4.000000,4.604906e+02,3.972361e+05,2.136757e+01,3.573992e+04,4.000000
5.000000,1.973072e+02,7.583624e+04,8.715781e+00,6.248524e+03,5.000000
6.000000,9.211066e+01,1.686681e+04,4.293435e+00,1.765059e+03,6.000000
7.000000,5.169222e+01,5.292449e+03,2.238141e+00,5.964312e+02,7.000000
8.000000,2.852236e+01,1.702889e+03,1.309761e+00,2.259177e+02,8.000000
9.000000,1.651881e+01,6.031709e+02,7.602740e-01,8.489816e+01,9.000000
10.000000,9.767416e+00,2.163258e+02,5.381299e-01,2.947638e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
