epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.126058e+02,7.501795e+04,7.343348e+00,6.072586e+03,5.031974
0.200000,1.058854e+02,1.954319e+04,4.528317e+00,2.062287e+03,5.951974
0.300000,6.950783e+01,8.652667e+03,2.677363e+00,8.592425e+02,6.591974
0.400000,5.020564e+01,4.640365e+03,1.942813e+00,5.127476e+02,7.111974
0.500000,3.856021e+01,2.799820e+03,1.510467e+00,3.466177e+02,7.571974
0.600000,3.067221e+01,1.767870e+03,1.441008e+00,2.664101e+02,7.981974
0.700000,2.517644e+01,1.220558e+03,1.199745e+00,1.858797e+02,8.361974
0.800000,2.067737e+01,8.077255e+02,9.573341e-01,1.126152e+02,8.711974
0.900000,1.805978e+01,6.233487e+02,7.596289e-01,7.970462e+01,8.991974
1.000000,1.803495e+01,6.250689e+02,8.099773e-01,9.736064e+01,8.991974
1.200000,1.815706e+01,6.311118e+02,6.677021e-01,7.668562e+01,8.991974
1.400000,1.796277e+01,6.249161e+02,6.896976e-01,8.151424e+01,8.991974
1.600000,1.825423e+01,6.439003e+02,8.314537e-01,1.003639e+02,8.991974
1.800000,1.793793e+01,6.082585e+02,7.208378e-01,7.298869e+01,8.991974
2.000000,1.801712e+01,6.216314e+02,7.950462e-01,8.519272e+01,8.991974
3.000000,1.817160e+01,6.408150e+02,6.872245e-01,8.887472e+01,8.991974
4.000000,1.806889e+01,6.237245e+02,7.145767e-01,8.673142e+01,8.991974
5.000000,1.814371e+01,6.367287e+02,7.917319e-01,8.940954e+01,8.991974
6.000000,1.801378e+01,6.224528e+02,7.764880e-01,8.303060e+01,8.991974
7.000000,1.802780e+01,6.184544e+02,8.023618e-01,7.558809e+01,8.991974
8.000000,1.802285e+01,6.129885e+02,6.960117e-01,7.513139e+01,8.991974
9.000000,1.801802e+01,6.272575e+02,7.153767e-01,8.239678e+01,9.000000
10.000000,1.085147e+01,2.293891e+02,5.115908e-01,2.931561e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
