epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.918483e+02,7.279731e+04,9.568865e+00,7.104917e+03,5.031974
0.200000,9.523292e+01,1.814857e+04,4.424695e+00,1.927088e+03,5.951974
0.300000,6.488359e+01,8.240567e+03,2.575978e+00,8.608112e+02,6.591974
0.400000,4.808144e+01,4.652780e+03,2.157142e+00,5.109294e+02,7.111974
0.500000,3.666817e+01,2.799319e+03,1.739043e+00,3.802538e+02,7.571974
0.600000,2.882954e+01,1.749739e+03,1.459975e+00,2.557970e+02,7.981974
0.700000,2.349602e+01,1.199530e+03,1.168035e+00,1.860455e+02,8.361974
0.800000,1.895338e+01,7.781511e+02,9.625332e-01,1.147055e+02,8.711974
0.900000,1.656439e+01,6.009932e+02,8.047984e-01,8.214265e+01,8.991974
1.000000,1.657146e+01,6.014930e+02,8.186713e-01,9.684166e+01,8.991974
1.200000,1.666785e+01,6.064770e+02,6.745598e-01,7.532991e+01,8.991974
1.400000,1.648671e+01,6.036730e+02,6.623006e-01,8.144249e+01,8.991974
1.600000,1.674855e+01,6.185053e+02,9.268565e-01,1.062339e+02,8.991974
1.800000,1.634144e+01,5.814473e+02,7.977069e-01,7.963684e+01,8.991974
2.000000,1.643405e+01,5.939177e+02,7.941593e-01,8.553113e+01,8.991974
3.000000,1.666180e+01,6.160092e+02,6.992646e-01,9.045458e+01,8.991974
4.000000,1.646762e+01,5.983472e+02,8.724633e-01,9.028165e+01,8.991974
5.000000,1.662793e+01,6.101292e+02,7.546389e-01,8.754688e+01,8.991974
6.000000,1.650556e+01,5.955177e+02,7.805499e-01,8.439966e+01,8.991974
7.000000,1.652522e+01,5.942654e+02,8.400994e-01,7.478497e+01,8.991974
8.000000,1.637476e+01,5.831528e+02,7.548336e-01,7.496083e+01,8.991974
9.000000,1.651881e+01,6.031709e+02,7.602740e-01,8.489816e+01,9.000000
10.000000,9.767416e+00,2.163258e+02,5.381299e-01,2.947638e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
