epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.361328e+05,8.751132e+10,9.192236e+03,6.605246e+09,0.100000
0.200000,1.132031e+05,2.016944e+10,4.099449e+03,1.356618e+09,0.200000
0.300000,7.154444e+04,8.039907e+09,2.745779e+03,5.441343e+08,0.300000
0.400000,5.101145e+04,4.066151e+09,1.996504e+03,2.875052e+08,0.400000
0.500000,3.849767e+04,2.329722e+09,1.496254e+03,1.829104e+08,0.500000
0.600000,3.018277e+04,1.438052e+09,1.063106e+03,9.550170e+07,0.600000
0.700000,2.456430e+04,9.477800e+08,8.763159e+02,6.218175e+07,0.700000
0.800000,2.052666e+04,6.618558e+08,6.943404e+02,3.917877e+07,0.800000
0.900000,1.724173e+04,4.661890e+08,6.743592e+02,3.497618e+07,0.900000
1.000000,1.460035e+04,3.345542e+08,5.403288e+02,2.453633e+07,1.000000
1.200000,1.083757e+04,1.848142e+08,3.927001e+02,1.238717e+07,1.200000
1.400000,8.205834e+03,1.055481e+08,3.057557e+02,7.267836e+06,1.400000
1.600000,6.393434e+03,6.422675e+07,2.188719e+02,4.276537e+06,1.600000
1.800000,5.026173e+03,3.954892e+07,2.142609e+02,3.098044e+06,1.800000
2.000000,3.955108e+03,2.461690e+07,1.465842e+02,1.704862e+06,2.000000
3.000000,1.376470e+03,2.987127e+06,4.892009e+01,1.980634e+05,3.000000
4.000000,5.191071e+02,4.289438e+05,1.687348e+01,2.912848e+04,4.000000
5.000000,2.171470e+02,7.723441e+04,7.311515e+00,5.669880e+03,5.000000
6.000000,1.020175e+02,1.811478e+04,3.960664e+00,1.675581e+03,6.000000
7.000000,5.374873e+01,5.257659e+03,2.358447e+00,6.267529e+02,7.000000
8.000000,3.030003e+01,1.716746e+03,1.305339e+00,2.229447e+02,8.000000
9.000000,1.801802e+01,6.272575e+02,7.153767e-01,8.239678e+01,9.000000
10.000000,1.085147e+01,2.293891e+02,5.115908e-01,2.931561e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
