epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,3.137629e+01,1.897218e+03,1.398775e-06,0.000000e+00
0.200000,1.643439e+01,5.102668e+02,0.000000e+00,2.182790e-05
0.300000,1.117476e+01,2.323998e+02,0.000000e+00,0.000000e+00
0.400000,8.473584e+00,1.324091e+02,0.000000e+00,0.000000e+00
0.500000,6.836632e+00,8.557289e+01,0.000000e+00,3.623537e-06
0.600000,5.739396e+00,6.001567e+01,0.000000e+00,2.744171e-06
0.700000,4.947149e+00,4.446709e+01,0.000000e+00,0.000000e+00
0.800000,4.348358e+00,3.428163e+01,6.009214e-08,2.142545e-06
0.900000,3.882274e+00,2.729022e+01,0.000000e+00,0.000000e+00
1.000000,3.506942e+00,2.226188e+01,0.000000e+00,9.034000e-07
1.200000,2.934611e+00,1.556356e+01,7.020113e-08,9.195513e-07
1.400000,2.521973e+00,1.148066e+01,0.000000e+00,8.191195e-07
1.600000,2.210911e+00,8.812248e+00,9.590454e-08,2.031973e-07
1.800000,1.968362e+00,6.975835e+00,0.000000e+00,3.285110e-07
2.000000,1.774086e+00,5.661371e+00,5.852403e-08,2.541954e-07
3.000000,1.188461e+00,2.530330e+00,0.000000e+00,8.595523e-08
4.000000,8.947244e-01,1.430599e+00,0.000000e+00,0.000000e+00
5.000000,7.178473e-01,9.198447e-01,0.000000e+00,4.329798e-08
6.000000,5.991986e-01,6.405870e-01,0.000000e+00,0.000000e+00
7.000000,5.140786e-01,4.715110e-01,2.168278e-08,1.200812e-08
8.000000,4.500188e-01,3.613756e-01,0.000000e+00,0.000000e+00
9.000000,4.001945e-01,2.858672e-01,0.000000e+00,0.000000e+00
10.000000,3.603350e-01,2.318564e-01,0.000000e+00,1.806442e-08
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
