epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,1.911193e+01,7.082403e+02,0.000000e+00,2.212028e-05
0.200000,9.555967e+00,1.770601e+02,0.000000e+00,1.041275e-05
0.300000,6.370645e+00,7.869337e+01,0.000000e+00,1.620499e-06
0.400000,4.777983e+00,4.426502e+01,0.000000e+00,8.210413e-07
0.500000,3.822387e+00,2.832961e+01,1.270281e-07,1.336394e-06
0.600000,3.185322e+00,1.967334e+01,1.399535e-07,9.038265e-07
0.700000,2.730276e+00,1.445388e+01,8.785160e-08,0.000000e+00
0.800000,2.388992e+00,1.106626e+01,9.228290e-08,0.000000e+00
0.900000,2.123548e+00,8.743708e+00,0.000000e+00,6.000538e-07
1.000000,1.911193e+00,7.082403e+00,0.000000e+00,0.000000e+00
1.200000,1.592661e+00,4.918336e+00,0.000000e+00,0.000000e+00
1.400000,1.365138e+00,3.613471e+00,0.000000e+00,2.031699e-07
1.600000,1.194496e+00,2.766564e+00,0.000000e+00,0.000000e+00
1.800000,1.061774e+00,2.185927e+00,7.773346e-08,0.000000e+00
2.000000,9.555967e-01,1.770601e+00,5.811419e-08,8.304855e-08
3.000000,6.370645e-01,7.869337e-01,0.000000e+00,4.269422e-08
4.000000,4.777983e-01,4.426502e-01,2.219070e-08,2.111626e-08
5.000000,3.822387e-01,2.832961e-01,2.866275e-08,1.178367e-08
6.000000,3.185322e-01,1.967334e-01,1.024980e-08,9.883400e-09
7.000000,2.730276e-01,1.445388e-01,0.000000e+00,6.896965e-09
8.000000,2.388992e-01,1.106626e-01,0.000000e+00,2.086918e-09
9.000000,2.123548e-01,8.743708e-02,0.000000e+00,0.000000e+00
10.000000,1.911193e-01,7.082403e-02,0.000000e+00,0.000000e+00
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
