epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,3.671680e+01,2.271383e+03,2.804395e-06,0.000000e+00
0.200000,1.835840e+01,5.678457e+02,0.000000e+00,1.791153e-05
0.300000,1.223893e+01,2.523759e+02,5.083582e-07,0.000000e+00
0.400000,9.179200e+00,1.419614e+02,6.480667e-07,9.787175e-06
0.500000,7.343360e+00,9.085531e+01,3.098217e-07,3.806742e-06
0.600000,6.119467e+00,6.309396e+01,3.422735e-07,0.000000e+00
0.700000,5.245257e+00,4.635475e+01,0.000000e+00,2.288065e-06
0.800000,4.589600e+00,3.549036e+01,0.000000e+00,0.000000e+00
0.900000,4.079645e+00,2.804176e+01,0.000000e+00,1.801326e-06
1.000000,3.671680e+00,2.271383e+01,1.564335e-07,1.157654e-06
1.200000,3.059733e+00,1.577349e+01,0.000000e+00,0.000000e+00
1.400000,2.622629e+00,1.158869e+01,1.060066e-07,0.000000e+00
1.600000,2.294800e+00,8.872589e+00,1.173418e-07,7.980021e-08
1.800000,2.039822e+00,7.010441e+00,0.000000e+00,0.000000e+00
2.000000,1.835840e+00,5.678457e+00,1.158433e-07,2.232311e-07
3.000000,1.223893e+00,2.523759e+00,0.000000e+00,4.330248e-08
4.000000,9.179200e-01,1.419614e+00,0.000000e+00,0.000000e+00
5.000000,7.343360e-01,9.085531e-01,4.568898e-08,5.479816e-08
6.000000,6.119467e-01,6.309396e-01,0.000000e+00,0.000000e+00
7.000000,5.245257e-01,4.635475e-01,2.317850e-08,0.000000e+00
8.000000,4.589600e-01,3.549036e-01,1.815024e-08,0.000000e+00
9.000000,4.079645e-01,2.804176e-01,1.221712e-08,0.000000e+00
10.000000,3.671680e-01,2.271383e-01,0.000000e+00,1.621847e-08
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
