epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,1.913723e+01,7.361690e+02,6.586199e-07,4.929930e-05
0.200000,9.568615e+00,1.840423e+02,3.293100e-07,1.232482e-05
0.300000,6.379077e+00,8.179656e+01,2.572967e-07,4.582021e-06
0.400000,4.784308e+00,4.601056e+01,1.688327e-07,3.081206e-06
0.500000,3.827446e+00,2.944676e+01,0.000000e+00,0.000000e+00
0.600000,3.189538e+00,2.044914e+01,1.652663e-07,1.548835e-06
0.700000,2.733890e+00,1.502386e+01,4.120076e-08,0.000000e+00
0.800000,2.392154e+00,1.150264e+01,8.441634e-08,0.000000e+00
0.900000,2.126359e+00,9.088506e+00,0.000000e+00,0.000000e+00
1.000000,1.913723e+00,7.361690e+00,4.960303e-08,5.437090e-07
1.200000,1.594769e+00,5.112285e+00,8.873073e-08,3.196086e-07
1.400000,1.366945e+00,3.755964e+00,0.000000e+00,0.000000e+00
1.600000,1.196077e+00,2.875660e+00,2.514208e-08,1.825149e-07
1.800000,1.063179e+00,2.272127e+00,1.296283e-08,0.000000e+00
2.000000,9.568615e-01,1.840423e+00,0.000000e+00,1.109970e-07
3.000000,6.379077e-01,8.179656e-01,4.883651e-08,0.000000e+00
4.000000,4.784308e-01,4.601056e-01,3.737810e-08,2.366004e-08
5.000000,3.827446e-01,2.944676e-01,0.000000e+00,0.000000e+00
6.000000,3.189538e-01,2.044914e-01,0.000000e+00,9.242897e-09
7.000000,2.733890e-01,1.502386e-01,0.000000e+00,7.779478e-09
8.000000,2.392154e-01,1.150264e-01,4.925996e-09,0.000000e+00
9.000000,2.126359e-01,9.088506e-02,7.532426e-09,0.000000e+00
10.000000,1.913723e-01,7.361690e-02,0.000000e+00,2.273085e-09
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
