epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,3.802664e+01,2.423047e+03,0.000000e+00,0.000000e+00
0.200000,1.901332e+01,6.057617e+02,0.000000e+00,0.000000e+00
0.300000,1.267555e+01,2.692274e+02,8.798191e-07,1.107759e-05
0.400000,9.506660e+00,1.514404e+02,0.000000e+00,0.000000e+00
0.500000,7.605328e+00,9.692187e+01,0.000000e+00,0.000000e+00
0.600000,6.337773e+00,6.730685e+01,4.399095e-07,3.224600e-06
0.700000,5.432377e+00,4.944993e+01,1.412188e-07,0.000000e+00
0.800000,4.753330e+00,3.786011e+01,0.000000e+00,0.000000e+00
0.900000,4.225182e+00,2.991416e+01,0.000000e+00,1.947250e-06
1.000000,3.802664e+00,2.423047e+01,2.154845e-07,1.465221e-06
1.200000,3.168887e+00,1.682671e+01,0.000000e+00,0.000000e+00
1.400000,2.716188e+00,1.236248e+01,5.072697e-08,5.483949e-07
1.600000,2.376665e+00,9.465026e+00,1.493588e-07,5.010027e-07
1.800000,2.112591e+00,7.478539e+00,0.000000e+00,2.818435e-07
2.000000,1.901332e+00,6.057617e+00,0.000000e+00,0.000000e+00
3.000000,1.267555e+00,2.692274e+00,0.000000e+00,2.597973e-08
4.000000,9.506660e-01,1.514404e+00,2.304885e-08,0.000000e+00
5.000000,7.605328e-01,9.692187e-01,2.766469e-08,3.995643e-08
6.000000,6.337773e-01,6.730685e-01,4.295878e-08,0.000000e+00
7.000000,5.432377e-01,4.944993e-01,0.000000e+00,2.473390e-08
8.000000,4.753330e-01,3.786011e-01,3.535212e-08,2.289407e-08
9.000000,4.225182e-01,2.991416e-01,1.803047e-08,0.000000e+00
10.000000,3.802664e-01,2.423047e-01,0.000000e+00,0.000000e+00
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
