epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std
0.100000,1.645855e+01,5.981239e+02,4.694355e-07,0.000000e+00
0.200000,8.425623e+00,1.535724e+02,4.599007e-07,7.419454e-06
0.300000,5.698354e+00,6.996134e+01,0.000000e+00,0.000000e+00
0.400000,4.321281e+00,4.022285e+01,2.752823e-07,0.000000e+00
0.500000,3.475854e+00,2.589768e+01,0.000000e+00,1.397133e-06
0.600000,2.905745e+00,1.803329e+01,0.000000e+00,0.000000e+00
0.700000,2.495657e+00,1.327224e+01,1.819015e-08,6.033123e-07
0.800000,2.186381e+00,1.017000e+01,0.000000e+00,0.000000e+00
0.900000,1.945714e+00,8.042517e+00,0.000000e+00,0.000000e+00
1.000000,1.753034e+00,6.520349e+00,0.000000e+00,2.971394e-07
1.200000,1.463188e+00,4.533252e+00,7.844058e-08,0.000000e+00
1.400000,1.255989e+00,3.334798e+00,0.000000e+00,1.962881e-07
1.600000,1.100435e+00,2.556658e+00,0.000000e+00,6.911659e-08
1.800000,9.794090e-01,2.023098e+00,4.996248e-08,1.021512e-07
2.000000,8.825881e-01,1.641445e+00,0.000000e+00,0.000000e+00
3.000000,5.921254e-01,7.375313e-01,1.658977e-08,0.000000e+00
4.000000,4.460337e-01,4.186124e-01,0.000000e+00,2.529147e-08
5.000000,3.576991e-01,2.694690e-01,1.168864e-08,0.000000e+00
6.000000,2.986159e-01,1.881090e-01,1.330820e-08,0.000000e+00
7.000000,2.562748e-01,1.387860e-01,1.521179e-08,8.956503e-09
8.000000,2.244405e-01,1.066330e-01,0.000000e+00,6.356950e-09
9.000000,1.995283e-01,8.429925e-02,0.000000e+00,5.020475e-09
10.000000,1.795755e-01,6.828239e-02,7.781029e-09,0.000000e+00
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
