epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.267140e+02,1.658790e+06,8.451378e+00,9.150180e+05,0.100000
0.200000,7.259329e+02,1.542867e+06,5.836616e+00,3.143641e+05,0.200000
0.300000,7.226814e+02,1.487787e+06,8.179948e+00,1.575355e+05,0.300000
0.400000,7.108037e+02,1.386510e+06,1.450398e+01,8.284774e+04,0.400000
0.500000,6.952295e+02,1.324957e+06,1.617229e+01,1.031577e+05,0.500000
0.600000,6.719373e+02,1.202244e+06,1.863707e+01,9.111377e+04,0.600000
0.700000,6.271606e+02,1.016277e+06,2.120745e+01,8.886414e+04,0.700000
0.800000,5.918817e+02,8.930505e+05,2.390452e+01,8.335270e+04,0.800000
0.900000,5.571754e+02,7.715102e+05,1.684962e+01,5.787418e+04,0.900000
1.000000,5.280700e+02,6.795682e+05,1.906617e+01,5.235490e+04,1.000000
1.200000,4.653626e+02,5.181972e+05,1.755490e+01,3.967202e+04,1.200000
1.400000,4.120125e+02,3.972685e+05,1.553731e+01,3.109756e+04,1.400000
1.600000,3.648925e+02,3.044653e+05,1.313644e+01,2.240057e+04,1.600000
1.800000,3.216803e+02,2.332911e+05,1.180831e+01,1.842765e+04,1.800000
2.000000,2.894962e+02,1.857014e+05,1.134490e+01,1.497738e+04,2.000000
3.000000,1.760157e+02,6.353488e+04,6.802154e+00,5.328162e+03,3.000000
4.000000,1.172753e+02,2.453024e+04,3.276770e+00,1.538115e+03,4.000000
5.000000,7.976061e+01,1.057799e+04,2.344720e+00,6.579410e+02,5.000000
6.000000,5.394350e+01,4.679246e+03,1.541100e+00,2.566974e+02,6.000000
7.000000,3.582643e+01,2.185263e+03,1.218949e+00,1.484501e+02,7.000000
8.000000,2.446426e+01,1.114908e+03,9.086968e-01,1.006500e+02,8.000000
9.000000,1.922676e+01,8.009979e+02,7.224925e-01,9.466343e+01,9.000000
10.000000,1.611556e+01,6.515034e+02,6.868793e-01,7.405316e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
