epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.408498e+02,3.816640e+04,7.300608e+00,3.392309e+03,5.671974
0.200000,8.324274e+01,1.424702e+04,4.125019e+00,1.994924e+03,6.961974
0.300000,6.845991e+01,1.056157e+04,3.338793e+00,1.469520e+03,7.691974
0.400000,5.966479e+01,8.947085e+03,3.549883e+00,1.789084e+03,8.181974
0.500000,5.440331e+01,8.081389e+03,3.177503e+00,1.596089e+03,8.531974
0.600000,5.165495e+01,7.710550e+03,3.523180e+00,1.531004e+03,8.791974
0.700000,4.924663e+01,7.247979e+03,3.015254e+00,1.444065e+03,8.981974
0.800000,4.958140e+01,7.246695e+03,3.336456e+00,1.318961e+03,8.991974
0.900000,4.916193e+01,7.211885e+03,3.458941e+00,1.568545e+03,8.991974
1.000000,4.873437e+01,7.176156e+03,3.265805e+00,1.295777e+03,8.991974
1.200000,4.997561e+01,7.476892e+03,3.742428e+00,1.632792e+03,8.991974
1.400000,4.986567e+01,7.442345e+03,3.348616e+00,1.467877e+03,8.991974
1.600000,4.988573e+01,7.523402e+03,3.655350e+00,1.665804e+03,8.991974
1.800000,4.928454e+01,7.330545e+03,3.711396e+00,1.704491e+03,8.991974
2.000000,4.985323e+01,7.570753e+03,2.921787e+00,1.389445e+03,8.991974
3.000000,4.937314e+01,7.419713e+03,3.397363e+00,1.665864e+03,8.991974
4.000000,4.911914e+01,7.372008e+03,3.488075e+00,1.512436e+03,8.991974
5.000000,4.954360e+01,7.442544e+03,3.203262e+00,1.316773e+03,8.991974
6.000000,4.928949e+01,7.542824e+03,3.179929e+00,1.752961e+03,8.991974
7.000000,4.899544e+01,7.137235e+03,3.541606e+00,1.589592e+03,8.991974
8.000000,4.918063e+01,7.475062e+03,3.029343e+00,1.595221e+03,8.991974
9.000000,4.926995e+01,7.430491e+03,3.441219e+00,1.588491e+03,9.000000
10.000000,4.200230e+01,6.604164e+03,2.899165e+00,1.592080e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
