epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,9.595495e+03,1.444245e+08,2.719445e+02,7.698327e+06,0.100000
0.200000,4.786468e+03,3.614078e+07,1.578381e+02,2.210585e+06,0.200000
0.300000,3.193198e+03,1.607531e+07,1.127005e+02,1.039302e+06,0.300000
0.400000,2.416926e+03,9.157642e+06,7.071283e+01,5.030292e+05,0.400000
0.500000,1.946791e+03,5.967254e+06,5.845270e+01,3.493301e+05,0.500000
0.600000,1.654821e+03,4.308802e+06,4.596932e+01,2.174383e+05,0.600000
0.700000,1.346341e+03,2.854214e+06,3.926728e+01,1.536905e+05,0.700000
0.800000,1.158690e+03,2.113304e+06,3.361243e+01,1.116029e+05,0.800000
0.900000,1.034399e+03,1.682320e+06,3.508770e+01,1.039093e+05,0.900000
1.000000,9.281630e+02,1.349196e+06,2.599706e+01,6.849635e+04,1.000000
1.200000,7.498099e+02,8.858068e+05,2.456531e+01,5.193698e+04,1.200000
1.400000,6.329327e+02,6.277968e+05,1.938434e+01,3.442101e+04,1.400000
1.600000,5.381534e+02,4.548023e+05,1.720934e+01,2.654909e+04,1.600000
1.800000,4.661318e+02,3.409660e+05,1.405600e+01,1.960144e+04,1.800000
2.000000,4.081191e+02,2.613450e+05,1.076771e+01,1.296784e+04,2.000000
3.000000,2.252786e+02,7.954038e+04,5.975739e+00,3.909030e+03,3.000000
4.000000,1.329738e+02,2.791028e+04,4.306005e+00,1.753061e+03,4.000000
5.000000,8.089565e+01,1.032185e+04,2.463149e+00,6.147265e+02,5.000000
6.000000,5.106704e+01,4.146127e+03,1.606928e+00,2.508942e+02,6.000000
7.000000,3.364077e+01,1.880982e+03,1.053422e+00,1.276276e+02,7.000000
8.000000,2.373446e+01,1.044361e+03,8.282225e-01,9.700172e+01,8.000000
9.000000,1.855740e+01,7.710915e+02,6.979627e-01,9.424345e+01,9.000000
10.000000,1.564106e+01,6.375815e+02,6.143021e-01,7.426934e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
