epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.520069e+04,9.960217e+08,1.043372e+03,7.735307e+07,0.100000
0.200000,1.256297e+04,2.480644e+08,4.306736e+02,1.587060e+07,0.200000
0.300000,8.369474e+03,1.100955e+08,3.142287e+02,7.830482e+06,0.300000
0.400000,6.315561e+03,6.276984e+07,2.147746e+02,4.182076e+06,0.400000
0.500000,5.081976e+03,4.053596e+07,1.891365e+02,2.871475e+06,0.500000
0.600000,4.299194e+03,2.901890e+07,1.620690e+02,2.075162e+06,0.600000
0.700000,3.483624e+03,1.904402e+07,1.214525e+02,1.250102e+06,0.700000
0.800000,3.063382e+03,1.471003e+07,1.338923e+02,1.126554e+06,0.800000
0.900000,2.704451e+03,1.150985e+07,9.999396e+01,7.651043e+05,0.900000
1.000000,2.426100e+03,9.243023e+06,9.214822e+01,6.278493e+05,1.000000
1.200000,1.972569e+03,6.117088e+06,7.589139e+01,4.013815e+05,1.200000
1.400000,1.652632e+03,4.299389e+06,5.396101e+01,2.763918e+05,1.400000
1.600000,1.421128e+03,3.171449e+06,4.987637e+01,2.054071e+05,1.600000
1.800000,1.213131e+03,2.310387e+06,4.259078e+01,1.512249e+05,1.800000
2.000000,1.067115e+03,1.797379e+06,4.393230e+01,1.521071e+05,2.000000
3.000000,5.893151e+02,5.445420e+05,2.066553e+01,3.580551e+04,3.000000
4.000000,3.528788e+02,1.950640e+05,1.384522e+01,1.434139e+04,4.000000
5.000000,2.138221e+02,7.266158e+04,6.802855e+00,4.665706e+03,5.000000
6.000000,1.370907e+02,3.091212e+04,5.181943e+00,2.645334e+03,6.000000
7.000000,9.132215e+01,1.517126e+04,3.228900e+00,1.460057e+03,7.000000
8.000000,6.527300e+01,9.543922e+03,3.134804e+00,1.832529e+03,8.000000
9.000000,5.107047e+01,7.362501e+03,2.465508e+00,1.402988e+03,9.000000
10.000000,4.318705e+01,6.692144e+03,2.183194e+00,1.279632e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
