epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.582540e+02,4.032106e+04,6.031976e+00,2.978350e+03,5.671974
0.200000,9.166277e+01,1.525259e+04,3.629117e+00,1.975774e+03,6.961974
0.300000,7.224250e+01,1.075802e+04,3.097460e+00,1.510998e+03,7.691974
0.400000,6.191871e+01,8.903126e+03,2.837374e+00,1.760958e+03,8.181974
0.500000,5.643304e+01,8.043450e+03,2.556006e+00,1.577470e+03,8.531974
0.600000,5.355948e+01,7.690928e+03,2.444845e+00,1.500681e+03,8.791974
0.700000,5.108241e+01,7.234695e+03,2.363103e+00,1.437297e+03,8.981974
0.800000,5.105085e+01,7.237972e+03,2.394272e+00,1.316213e+03,8.991974
0.900000,5.081846e+01,7.186910e+03,2.879781e+00,1.562792e+03,8.991974
1.000000,5.075474e+01,7.162644e+03,2.431826e+00,1.297139e+03,8.991974
1.200000,5.134919e+01,7.464683e+03,2.998003e+00,1.629764e+03,8.991974
1.400000,5.144737e+01,7.433380e+03,2.478646e+00,1.437910e+03,8.991974
1.600000,5.167837e+01,7.517943e+03,2.840269e+00,1.646057e+03,8.991974
1.800000,5.095751e+01,7.313728e+03,2.743390e+00,1.682900e+03,8.991974
2.000000,5.173086e+01,7.557679e+03,2.404538e+00,1.398845e+03,8.991974
3.000000,5.110167e+01,7.404700e+03,2.604698e+00,1.656439e+03,8.991974
4.000000,5.106933e+01,7.374545e+03,2.783783e+00,1.514099e+03,8.991974
5.000000,5.129724e+01,7.428322e+03,2.608412e+00,1.301618e+03,8.991974
6.000000,5.129003e+01,7.545155e+03,2.726762e+00,1.736560e+03,8.991974
7.000000,5.075406e+01,7.124543e+03,3.096202e+00,1.582253e+03,8.991974
8.000000,5.112607e+01,7.451028e+03,2.528193e+00,1.584238e+03,8.991974
9.000000,5.113062e+01,7.402433e+03,2.906761e+00,1.585359e+03,9.000000
10.000000,4.318507e+01,6.605286e+03,2.285044e+00,1.586001e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
