epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.048192e+03,1.658759e+08,2.020420e+02,1.341993e+07,0.100000
0.200000,5.396332e+03,9.284450e+07,2.978396e+02,1.171652e+07,0.200000
0.300000,4.041568e+03,4.908550e+07,2.874992e+02,7.292162e+06,0.300000
0.400000,3.217570e+03,2.895586e+07,1.935722e+02,3.987827e+06,0.400000
0.500000,2.779150e+03,1.955691e+07,1.323151e+02,2.295942e+06,0.500000
0.600000,2.476119e+03,1.522559e+07,1.231630e+02,1.605133e+06,0.600000
0.700000,2.131677e+03,1.089573e+07,9.791635e+01,1.041033e+06,0.700000
0.800000,1.922916e+03,8.673638e+06,1.085432e+02,1.032005e+06,0.800000
0.900000,1.745527e+03,6.905083e+06,8.529544e+01,6.940319e+05,0.900000
1.000000,1.620037e+03,5.822503e+06,8.070491e+01,6.476833e+05,1.000000
1.200000,1.379957e+03,4.079895e+06,6.133520e+01,3.593140e+05,1.200000
1.400000,1.209718e+03,3.046070e+06,5.587488e+01,2.704115e+05,1.400000
1.600000,1.066402e+03,2.331132e+06,4.650038e+01,2.042946e+05,1.600000
1.800000,9.520445e+02,1.783504e+06,3.924683e+01,1.568811e+05,1.800000
2.000000,8.514327e+02,1.407360e+06,3.560139e+01,1.218130e+05,2.000000
3.000000,5.154075e+02,4.968528e+05,2.196996e+01,3.951773e+04,3.000000
4.000000,3.183019e+02,1.857911e+05,1.365728e+01,1.327563e+04,4.000000
5.000000,1.933375e+02,7.115577e+04,8.050439e+00,5.552557e+03,5.000000
6.000000,1.207069e+02,2.861050e+04,5.458095e+00,2.686927e+03,6.000000
7.000000,8.342516e+01,1.419663e+04,4.025810e+00,1.448136e+03,7.000000
8.000000,6.237171e+01,9.546942e+03,3.183291e+00,1.807376e+03,8.000000
9.000000,4.909672e+01,7.382978e+03,3.276142e+00,1.405308e+03,9.000000
10.000000,4.206579e+01,6.693431e+03,2.780162e+00,1.275473e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
