epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.271083e+02,2.939651e+04,3.524647e+00,1.760303e+03,3.798339
0.200000,7.825119e+01,1.015688e+04,2.238953e+00,6.044158e+02,5.058339
0.300000,5.888268e+01,5.594578e+03,1.838593e+00,3.390562e+02,5.778339
0.400000,4.889072e+01,3.837303e+03,1.328059e+00,1.947265e+02,6.268339
0.500000,4.242612e+01,2.970432e+03,1.333806e+00,1.678622e+02,6.608339
0.600000,3.775978e+01,2.400020e+03,1.232004e+00,1.535446e+02,6.868339
0.700000,3.512496e+01,2.108924e+03,1.100569e+00,1.378258e+02,7.058339
0.800000,3.472282e+01,2.068255e+03,1.047171e+00,1.272901e+02,7.068339
0.900000,3.471814e+01,2.053329e+03,1.131626e+00,1.310661e+02,7.068339
1.000000,3.479404e+01,2.071907e+03,1.048404e+00,1.272045e+02,7.068339
1.200000,3.476710e+01,2.078719e+03,1.135338e+00,1.393872e+02,7.068339
1.400000,3.495198e+01,2.086421e+03,1.157771e+00,1.526937e+02,7.068339
1.600000,3.486547e+01,2.073759e+03,1.112953e+00,1.319118e+02,7.068339
1.800000,3.485205e+01,2.087706e+03,1.165037e+00,1.320759e+02,7.068339
2.000000,3.460600e+01,2.062067e+03,1.015350e+00,1.204508e+02,7.068339
3.000000,3.465885e+01,2.060986e+03,1.073302e+00,1.394364e+02,7.068339
4.000000,3.465034e+01,2.047007e+03,1.154633e+00,1.407792e+02,7.068339
5.000000,3.462456e+01,2.055927e+03,1.025026e+00,1.251263e+02,7.068339
6.000000,3.479640e+01,2.072289e+03,1.065642e+00,1.364703e+02,7.068339
7.000000,3.494673e+01,2.097353e+03,9.374654e-01,1.206495e+02,7.068339
8.000000,2.458943e+01,1.127725e+03,8.505798e-01,9.287261e+01,8.000000
9.000000,1.912107e+01,7.876417e+02,7.609912e-01,8.070319e+01,9.000000
10.000000,1.606128e+01,6.471435e+02,6.098862e-01,7.854723e+01,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
