epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.043564e+03,1.669594e+08,2.410360e+02,1.279052e+07,0.100000
0.200000,5.357657e+03,9.143689e+07,3.122897e+02,1.259443e+07,0.200000
0.300000,4.056157e+03,4.933442e+07,2.727818e+02,6.735993e+06,0.300000
0.400000,3.176052e+03,2.763597e+07,1.810387e+02,3.734728e+06,0.400000
0.500000,2.707741e+03,1.874044e+07,1.463211e+02,2.212634e+06,0.500000
0.600000,2.437549e+03,1.461270e+07,1.135378e+02,1.433650e+06,0.600000
0.700000,2.144996e+03,1.118998e+07,1.169167e+02,1.267969e+06,0.700000
0.800000,1.970421e+03,9.150418e+06,1.124945e+02,1.117555e+06,0.800000
0.900000,1.772533e+03,7.237800e+06,8.020177e+01,7.432053e+05,0.900000
1.000000,1.637619e+03,6.028596e+06,7.286892e+01,6.030785e+05,1.000000
1.200000,1.414987e+03,4.333657e+06,6.518564e+01,3.980867e+05,1.200000
1.400000,1.258562e+03,3.334454e+06,5.228438e+01,3.080625e+05,1.400000
1.600000,1.126974e+03,2.618025e+06,5.092931e+01,2.467686e+05,1.600000
1.800000,1.027646e+03,2.125722e+06,4.189551e+01,1.858810e+05,1.800000
2.000000,9.403083e+02,1.751881e+06,4.319440e+01,1.792076e+05,2.000000
3.000000,6.447950e+02,7.857747e+05,3.033427e+01,7.110261e+04,3.000000
4.000000,4.637852e+02,3.990748e+05,2.095117e+01,3.412344e+04,4.000000
5.000000,3.531276e+02,2.248557e+05,1.466267e+01,1.747303e+04,5.000000
6.000000,2.666213e+02,1.317132e+05,1.082823e+01,8.681019e+03,6.000000
7.000000,2.035227e+02,7.785926e+04,9.583141e+00,6.500960e+03,7.000000
8.000000,1.532822e+02,4.465024e+04,6.796071e+00,3.817440e+03,8.000000
9.000000,1.166637e+02,2.538773e+04,5.888394e+00,2.390880e+03,9.000000
10.000000,9.085510e+01,1.503471e+04,4.550430e+00,1.401120e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
