epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,3.226378e+02,1.635877e+05,1.146796e+01,1.093971e+04,5.671974
0.200000,2.269389e+02,8.101686e+04,8.616360e+00,5.535186e+03,6.961974
0.300000,1.864656e+02,5.452776e+04,6.868509e+00,3.831982e+03,7.691974
0.400000,1.637651e+02,4.219337e+04,6.163560e+00,3.178707e+03,8.181974
0.500000,1.509071e+02,3.586222e+04,6.122863e+00,2.626048e+03,8.531974
0.600000,1.396383e+02,3.059943e+04,5.356367e+00,2.108393e+03,8.791974
0.700000,1.343761e+02,2.827195e+04,4.964989e+00,1.894515e+03,8.981974
0.800000,1.331750e+02,2.784728e+04,5.308736e+00,2.091707e+03,8.991974
0.900000,1.338953e+02,2.804879e+04,4.701603e+00,1.927859e+03,8.991974
1.000000,1.337882e+02,2.815909e+04,5.261070e+00,2.038604e+03,8.991974
1.200000,1.343041e+02,2.825746e+04,5.227030e+00,2.034477e+03,8.991974
1.400000,1.335914e+02,2.809499e+04,4.368236e+00,1.813087e+03,8.991974
1.600000,1.327092e+02,2.774565e+04,4.384764e+00,1.719935e+03,8.991974
1.800000,1.333455e+02,2.795780e+04,4.146347e+00,1.659572e+03,8.991974
2.000000,1.341733e+02,2.827053e+04,5.987724e+00,2.301597e+03,8.991974
3.000000,1.340728e+02,2.831065e+04,4.829443e+00,1.895443e+03,8.991974
4.000000,1.331351e+02,2.786559e+04,4.954064e+00,2.000335e+03,8.991974
5.000000,1.329007e+02,2.781487e+04,4.788713e+00,1.725943e+03,8.991974
6.000000,1.337045e+02,2.806329e+04,5.462085e+00,2.241635e+03,8.991974
7.000000,1.328359e+02,2.771995e+04,4.721360e+00,1.777461e+03,8.991974
8.000000,1.333419e+02,2.812179e+04,5.256371e+00,2.120225e+03,8.991974
9.000000,1.328566e+02,2.765415e+04,5.473809e+00,2.155440e+03,9.000000
10.000000,1.038208e+02,1.693580e+04,3.834504e+00,1.142193e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
