epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.254238e+02,1.514408e+06,5.807193e+00,6.034111e+05,0.100000
0.200000,7.247420e+02,1.469103e+06,4.257958e+00,2.318691e+05,0.200000
0.300000,7.238227e+02,1.455649e+06,5.397724e+00,1.120141e+05,0.300000
0.400000,7.116000e+02,1.404164e+06,1.336528e+01,9.726683e+04,0.400000
0.500000,6.902673e+02,1.298381e+06,1.866227e+01,1.122797e+05,0.500000
0.600000,6.601102e+02,1.153299e+06,2.094177e+01,9.431877e+04,0.600000
0.700000,6.300531e+02,1.032197e+06,2.072364e+01,8.430173e+04,0.700000
0.800000,5.937285e+02,8.950118e+05,2.056065e+01,7.279195e+04,0.800000
0.900000,5.575113e+02,7.742053e+05,2.173945e+01,6.801625e+04,0.900000
1.000000,5.232184e+02,6.672187e+05,1.847860e+01,5.226111e+04,1.000000
1.200000,4.634684e+02,5.125322e+05,1.976525e+01,4.688375e+04,1.200000
1.400000,4.112807e+02,3.956628e+05,1.607491e+01,3.373082e+04,1.400000
1.600000,3.648432e+02,3.059846e+05,1.253120e+01,2.266743e+04,1.600000
1.800000,3.224181e+02,2.351440e+05,1.271498e+01,2.038069e+04,1.800000
2.000000,2.882950e+02,1.836593e+05,1.081911e+01,1.452647e+04,2.000000
3.000000,1.763912e+02,6.400723e+04,5.932539e+00,4.960301e+03,3.000000
4.000000,1.177047e+02,2.457103e+04,3.584973e+00,1.580489e+03,4.000000
5.000000,7.985928e+01,1.066933e+04,2.222782e+00,6.629137e+02,5.000000
6.000000,5.410479e+01,4.696231e+03,1.510653e+00,2.576644e+02,6.000000
7.000000,3.570101e+01,2.175435e+03,1.220267e+00,1.485515e+02,7.000000
8.000000,2.463196e+01,1.122294e+03,8.503702e-01,9.455193e+01,8.000000
9.000000,1.906903e+01,7.725838e+02,6.394588e-01,7.130949e+01,9.000000
10.000000,1.607183e+01,6.485033e+02,6.024161e-01,6.686479e+01,10.000000
-1.000000,1.316781e+01,5.827534e+02,7.260350e-01,8.749021e+01,-1.000000
