epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.936755e+02,1.585692e+05,1.284032e+01,1.147002e+04,5.671974
0.200000,2.050738e+02,7.908094e+04,9.319945e+00,6.330439e+03,6.961974
0.300000,1.680857e+02,5.353248e+04,8.861514e+00,4.366440e+03,7.691974
0.400000,1.457391e+02,4.044743e+04,7.156501e+00,3.646670e+03,8.181974
0.500000,1.328419e+02,3.358840e+04,7.328415e+00,3.235741e+03,8.531974
0.600000,1.226839e+02,2.826079e+04,6.039019e+00,2.527653e+03,8.791974
0.700000,1.172994e+02,2.583536e+04,6.230159e+00,2.419949e+03,8.981974
0.800000,1.172765e+02,2.575163e+04,6.042944e+00,2.695799e+03,8.991974
0.900000,1.172477e+02,2.580168e+04,5.145072e+00,2.267746e+03,8.991974
1.000000,1.172933e+02,2.602648e+04,5.424616e+00,2.148994e+03,8.991974
1.200000,1.177987e+02,2.576993e+04,5.770593e+00,2.201033e+03,8.991974
1.400000,1.171217e+02,2.588180e+04,5.757532e+00,2.198052e+03,8.991974
1.600000,1.164993e+02,2.551080e+04,5.127673e+00,2.264349e+03,8.991974
1.800000,1.178631e+02,2.602554e+04,5.984579e+00,2.527711e+03,8.991974
2.000000,1.171865e+02,2.574966e+04,6.006559e+00,2.312948e+03,8.991974
3.000000,1.172287e+02,2.578094e+04,5.162789e+00,2.204656e+03,8.991974
4.000000,1.169693e+02,2.576768e+04,5.234990e+00,2.369026e+03,8.991974
5.000000,1.174637e+02,2.581757e+04,5.500975e+00,2.458763e+03,8.991974
6.000000,1.178471e+02,2.595514e+04,5.786915e+00,2.485145e+03,8.991974
7.000000,1.170014e+02,2.550691e+04,5.943166e+00,2.368538e+03,8.991974
8.000000,1.164888e+02,2.541788e+04,5.720998e+00,2.485269e+03,8.991974
9.000000,1.166637e+02,2.538773e+04,5.888394e+00,2.390880e+03,9.000000
10.000000,9.085510e+01,1.503471e+04,4.550430e+00,1.401120e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
