epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.714713e+02,5.950274e+04,5.624011e+00,4.058758e+03,3.798339
0.200000,1.261593e+02,2.889379e+04,3.960886e+00,1.987566e+03,5.058339
0.300000,1.081234e+02,2.048314e+04,2.825466e+00,1.249064e+03,5.778339
0.400000,9.746046e+01,1.633950e+04,2.626591e+00,9.508419e+02,6.268339
0.500000,9.115473e+01,1.413926e+04,2.601969e+00,9.179911e+02,6.608339
0.600000,8.606449e+01,1.246412e+04,2.464120e+00,7.690908e+02,6.868339
0.700000,8.193240e+01,1.124794e+04,2.240613e+00,6.741373e+02,7.058339
0.800000,8.232871e+01,1.129736e+04,2.559217e+00,7.748520e+02,7.068339
0.900000,8.240545e+01,1.142345e+04,2.372450e+00,6.864236e+02,7.068339
1.000000,8.167046e+01,1.114265e+04,2.098442e+00,6.557811e+02,7.068339
1.200000,8.200741e+01,1.124859e+04,2.346478e+00,6.394180e+02,7.068339
1.400000,8.237844e+01,1.136277e+04,2.159451e+00,6.422912e+02,7.068339
1.600000,8.183925e+01,1.127119e+04,2.411092e+00,7.097101e+02,7.068339
1.800000,8.247113e+01,1.140672e+04,2.109453e+00,5.807407e+02,7.068339
2.000000,8.211778e+01,1.127023e+04,2.550991e+00,6.826003e+02,7.068339
3.000000,8.203870e+01,1.130658e+04,1.900578e+00,6.022001e+02,7.068339
4.000000,8.230732e+01,1.130324e+04,2.190393e+00,6.061678e+02,7.068339
5.000000,8.221830e+01,1.137827e+04,2.468043e+00,7.102690e+02,7.068339
6.000000,8.208538e+01,1.131350e+04,2.484555e+00,7.431186e+02,7.068339
7.000000,8.227943e+01,1.133410e+04,2.072608e+00,6.118676e+02,7.068339
8.000000,6.712420e+01,7.335146e+03,1.779817e+00,4.119832e+02,8.000000
9.000000,5.404305e+01,4.690494e+03,1.480071e+00,2.382002e+02,9.000000
10.000000,4.271018e+01,2.916741e+03,1.195701e+00,1.466789e+02,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
