epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.261084e+02,1.604678e+06,7.244661e+00,7.880591e+05,0.100000
0.200000,7.248350e+02,1.469357e+06,4.106399e+00,2.071646e+05,0.200000
0.300000,7.236885e+02,1.458521e+06,4.260860e+00,1.242067e+05,0.300000
0.400000,7.112113e+02,1.387865e+06,1.354774e+01,8.582071e+04,0.400000
0.500000,6.917655e+02,1.304136e+06,1.750805e+01,1.029574e+05,0.500000
0.600000,6.597380e+02,1.151528e+06,2.175104e+01,9.915379e+04,0.600000
0.700000,6.315555e+02,1.031915e+06,1.767738e+01,7.409496e+04,0.700000
0.800000,6.006334e+02,9.122529e+05,2.100054e+01,6.943253e+04,0.800000
0.900000,5.665783e+02,8.050590e+05,1.942638e+01,6.836283e+04,0.900000
1.000000,5.343110e+02,6.948787e+05,1.846915e+01,5.405071e+04,1.000000
1.200000,4.765697e+02,5.493721e+05,1.711969e+01,4.300282e+04,1.200000
1.400000,4.303309e+02,4.351063e+05,1.524518e+01,3.469796e+04,1.400000
1.600000,3.873423e+02,3.492475e+05,1.394663e+01,2.647748e+04,1.600000
1.800000,3.498253e+02,2.796389e+05,1.372354e+01,2.202229e+04,1.800000
2.000000,3.196677e+02,2.297783e+05,1.209855e+01,1.911084e+04,2.000000
3.000000,2.215542e+02,1.038315e+05,7.965444e+00,7.717052e+03,3.000000
4.000000,1.619837e+02,5.223854e+04,5.826811e+00,4.295746e+03,4.000000
5.000000,1.276024e+02,2.970148e+04,4.279136e+00,2.080278e+03,5.000000
6.000000,1.035150e+02,1.873650e+04,2.682312e+00,1.094551e+03,6.000000
7.000000,8.354014e+01,1.172356e+04,1.949242e+00,5.421217e+02,7.000000
8.000000,6.712420e+01,7.335146e+03,1.779817e+00,4.119832e+02,8.000000
9.000000,5.404305e+01,4.690494e+03,1.480071e+00,2.382002e+02,9.000000
10.000000,4.271018e+01,2.916741e+03,1.195701e+00,1.466789e+02,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
