epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,9.578474e+03,1.434962e+08,2.803287e+02,7.655308e+06,0.100000
0.200000,4.774144e+03,3.578789e+07,1.521008e+02,2.180680e+06,0.200000
0.300000,3.170536e+03,1.579147e+07,1.038381e+02,9.557994e+05,0.300000
0.400000,2.385564e+03,8.944753e+06,7.532844e+01,5.365303e+05,0.400000
0.500000,1.901043e+03,5.701792e+06,5.410290e+01,2.874481e+05,0.500000
0.600000,1.590579e+03,3.973175e+06,4.525279e+01,2.131562e+05,0.600000
0.700000,1.363947e+03,2.923302e+06,4.271221e+01,1.821068e+05,0.700000
0.800000,1.188533e+03,2.218438e+06,3.523068e+01,1.220860e+05,0.800000
0.900000,1.053552e+03,1.743436e+06,3.084297e+01,9.799891e+04,0.900000
1.000000,9.471767e+02,1.402431e+06,3.018910e+01,8.551262e+04,1.000000
1.200000,7.871931e+02,9.721316e+05,2.487590e+01,5.838446e+04,1.200000
1.400000,6.729047e+02,7.106406e+05,2.168282e+01,4.317175e+04,1.400000
1.600000,5.832862e+02,5.347844e+05,1.696080e+01,3.139463e+04,1.600000
1.800000,5.135463e+02,4.136457e+05,1.555556e+01,2.351783e+04,1.800000
2.000000,4.580356e+02,3.292085e+05,1.542326e+01,2.081371e+04,2.000000
3.000000,2.923666e+02,1.341335e+05,9.568721e+00,8.410176e+03,3.000000
4.000000,2.046523e+02,6.584779e+04,6.415857e+00,3.924042e+03,4.000000
5.000000,1.497369e+02,3.528803e+04,4.441011e+00,1.937821e+03,5.000000
6.000000,1.123370e+02,1.992287e+04,3.519414e+00,1.108161e+03,6.000000
7.000000,8.596480e+01,1.163134e+04,2.352244e+00,5.556426e+02,7.000000
8.000000,6.604942e+01,6.837137e+03,1.907834e+00,3.598492e+02,8.000000
9.000000,5.113269e+01,4.119081e+03,1.773465e+00,2.589783e+02,9.000000
10.000000,3.953217e+01,2.449568e+03,1.325394e+00,1.572423e+02,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
