epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.482909e+04,9.682272e+08,9.569990e+02,7.144519e+07,0.100000
0.200000,1.252946e+04,2.465104e+08,4.459418e+02,1.697101e+07,0.200000
0.300000,8.288858e+03,1.080169e+08,3.151551e+02,8.031554e+06,0.300000
0.400000,6.214855e+03,6.052866e+07,2.402251e+02,4.151278e+06,0.400000
0.500000,4.937117e+03,3.842869e+07,2.021360e+02,2.808780e+06,0.500000
0.600000,4.081908e+03,2.615416e+07,1.327628e+02,1.644644e+06,0.600000
0.700000,3.513080e+03,1.930355e+07,1.149768e+02,1.275243e+06,0.700000
0.800000,3.034738e+03,1.452608e+07,9.721954e+01,8.797029e+05,0.800000
0.900000,2.675393e+03,1.126025e+07,9.565663e+01,7.548865e+05,0.900000
1.000000,2.386987e+03,8.940543e+06,1.013895e+02,7.191297e+05,1.000000
1.200000,1.968309e+03,6.099476e+06,6.933360e+01,4.068719e+05,1.200000
1.400000,1.645870e+03,4.259489e+06,6.562763e+01,3.162937e+05,1.400000
1.600000,1.405930e+03,3.110585e+06,5.754541e+01,2.443584e+05,1.600000
1.800000,1.227733e+03,2.365572e+06,4.994935e+01,1.728713e+05,1.800000
2.000000,1.066052e+03,1.792455e+06,4.255686e+01,1.341137e+05,2.000000
3.000000,5.940311e+02,5.536617e+05,2.201994e+01,3.854762e+04,3.000000
4.000000,3.477853e+02,1.912660e+05,1.484648e+01,1.602669e+04,4.000000
5.000000,2.140598e+02,7.280867e+04,7.727461e+00,5.149839e+03,5.000000
6.000000,1.366682e+02,3.057320e+04,5.146848e+00,2.303804e+03,6.000000
7.000000,9.145700e+01,1.518759e+04,3.252126e+00,1.762794e+03,7.000000
8.000000,6.542696e+01,9.226635e+03,2.941419e+00,1.395032e+03,8.000000
9.000000,5.069086e+01,7.125907e+03,2.829208e+00,1.408612e+03,9.000000
10.000000,4.305812e+01,6.483170e+03,2.676730e+00,1.554266e+03,10.000000
-1.000000,3.434705e+01,6.046837e+03,2.368947e+00,1.459076e+03,-1.000000
