epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.392406e+02,3.761074e+04,7.756915e+00,3.722446e+03,5.671974
0.200000,8.467308e+01,1.451703e+04,4.394488e+00,1.499562e+03,6.961974
0.300000,6.827963e+01,1.034146e+04,3.890359e+00,1.614685e+03,7.691974
0.400000,6.014819e+01,8.931301e+03,3.519768e+00,1.333908e+03,8.181974
0.500000,5.440173e+01,8.170544e+03,3.265498e+00,1.563791e+03,8.531974
0.600000,5.161084e+01,7.688555e+03,3.287012e+00,1.431098e+03,8.791974
0.700000,4.965600e+01,7.504134e+03,3.169376e+00,1.265303e+03,8.981974
0.800000,4.922579e+01,7.196241e+03,3.100874e+00,1.254218e+03,8.991974
0.900000,4.947360e+01,7.361527e+03,3.418875e+00,1.408280e+03,8.991974
1.000000,4.848264e+01,7.110818e+03,3.147543e+00,1.268963e+03,8.991974
1.200000,4.957209e+01,7.411756e+03,2.902920e+00,1.244252e+03,8.991974
1.400000,4.969289e+01,7.648977e+03,3.406333e+00,1.674461e+03,8.991974
1.600000,4.983122e+01,7.704427e+03,3.244459e+00,1.506228e+03,8.991974
1.800000,4.947877e+01,7.383622e+03,3.419207e+00,1.522338e+03,8.991974
2.000000,4.870943e+01,7.168696e+03,3.361676e+00,1.276818e+03,8.991974
3.000000,4.924968e+01,7.328754e+03,3.452128e+00,1.538253e+03,8.991974
4.000000,4.909369e+01,7.261177e+03,3.256494e+00,1.392026e+03,8.991974
5.000000,4.912815e+01,7.253930e+03,3.582306e+00,1.434440e+03,8.991974
6.000000,4.929000e+01,7.268605e+03,3.164510e+00,1.345591e+03,8.991974
7.000000,4.926952e+01,7.403288e+03,2.917303e+00,1.577865e+03,8.991974
8.000000,4.915538e+01,7.088891e+03,3.742083e+00,1.456930e+03,8.991974
9.000000,4.903204e+01,7.153214e+03,3.247205e+00,1.410436e+03,9.000000
10.000000,4.184172e+01,6.480313e+03,3.294754e+00,1.556685e+03,10.000000
-1.000000,3.578460e+01,6.073144e+03,3.138212e+00,1.450560e+03,-1.000000
