epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.489502e+04,9.715826e+08,9.463646e+02,7.358417e+07,0.100000
0.200000,1.254390e+04,2.473833e+08,4.118619e+02,1.576229e+07,0.200000
0.300000,8.302673e+03,1.085600e+08,3.196945e+02,7.876894e+06,0.300000
0.400000,6.254856e+03,6.138597e+07,2.497155e+02,4.451142e+06,0.400000
0.500000,4.977435e+03,3.910361e+07,1.905452e+02,2.718786e+06,0.500000
0.600000,4.133125e+03,2.679443e+07,1.330577e+02,1.586502e+06,0.600000
0.700000,3.559358e+03,1.989692e+07,1.319359e+02,1.375424e+06,0.700000
0.800000,3.102434e+03,1.513057e+07,1.160302e+02,1.124801e+06,0.800000
0.900000,2.753457e+03,1.188907e+07,1.116720e+02,8.760920e+05,0.900000
1.000000,2.479227e+03,9.628768e+06,8.522501e+01,6.420853e+05,1.000000
1.200000,2.055429e+03,6.672454e+06,6.730790e+01,4.255535e+05,1.200000
1.400000,1.762360e+03,4.864599e+06,6.467423e+01,3.418384e+05,1.400000
1.600000,1.515275e+03,3.600726e+06,6.277508e+01,2.807383e+05,1.600000
1.800000,1.347670e+03,2.851926e+06,5.191768e+01,1.893564e+05,1.800000
2.000000,1.207516e+03,2.282111e+06,4.551498e+01,1.606454e+05,2.000000
3.000000,7.578665e+02,8.998800e+05,2.787792e+01,6.103020e+04,3.000000
4.000000,5.306748e+02,4.425009e+05,2.037634e+01,3.105323e+04,4.000000
5.000000,3.893864e+02,2.381558e+05,1.474947e+01,1.720157e+04,5.000000
6.000000,2.932141e+02,1.347032e+05,1.123730e+01,9.470011e+03,6.000000
7.000000,2.224347e+02,7.775016e+04,8.641827e+00,5.641427e+03,7.000000
8.000000,1.720243e+02,4.661219e+04,7.165810e+00,3.558947e+03,8.000000
9.000000,1.328566e+02,2.765415e+04,5.473809e+00,2.155440e+03,9.000000
10.000000,1.038208e+02,1.693580e+04,3.834504e+00,1.142193e+03,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
