epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,7.048002e+03,1.663387e+08,2.186392e+02,1.095296e+07,0.100000
0.200000,5.377921e+03,9.228568e+07,3.190548e+02,1.213303e+07,0.200000
0.300000,4.052779e+03,4.926127e+07,2.600600e+02,6.546272e+06,0.300000
0.400000,3.188513e+03,2.762634e+07,1.862374e+02,3.988867e+06,0.400000
0.500000,2.690737e+03,1.848168e+07,1.355284e+02,2.311554e+06,0.500000
0.600000,2.418052e+03,1.426692e+07,1.286198e+02,1.508509e+06,0.600000
0.700000,2.123542e+03,1.092149e+07,1.225433e+02,1.233412e+06,0.700000
0.800000,1.926910e+03,8.726790e+06,1.174559e+02,1.126294e+06,0.800000
0.900000,1.745593e+03,7.002270e+06,8.849224e+01,7.471837e+05,0.900000
1.000000,1.597339e+03,5.678323e+06,8.270665e+01,6.000204e+05,1.000000
1.200000,1.370453e+03,4.014368e+06,6.265235e+01,3.891109e+05,1.200000
1.400000,1.206811e+03,3.041802e+06,5.306715e+01,2.886785e+05,1.400000
1.600000,1.058784e+03,2.274783e+06,4.842828e+01,2.281571e+05,1.600000
1.800000,9.505578e+02,1.789248e+06,4.569584e+01,1.824959e+05,1.800000
2.000000,8.503908e+02,1.409600e+06,3.619802e+01,1.246213e+05,2.000000
3.000000,5.134404e+02,4.912817e+05,2.247760e+01,3.929766e+04,3.000000
4.000000,3.191938e+02,1.864125e+05,1.623360e+01,1.584153e+04,4.000000
5.000000,1.948706e+02,7.172251e+04,9.529608e+00,5.630441e+03,5.000000
6.000000,1.205443e+02,2.827919e+04,5.762663e+00,2.352730e+03,6.000000
7.000000,8.342920e+01,1.428471e+04,3.661401e+00,1.844723e+03,7.000000
8.000000,6.270513e+01,9.199307e+03,3.665697e+00,1.421285e+03,8.000000
9.000000,4.903204e+01,7.153214e+03,3.247205e+00,1.410436e+03,9.000000
10.000000,4.184172e+01,6.480313e+03,3.294754e+00,1.556685e+03,10.000000
-1.000000,3.578460e+01,6.073144e+03,3.138212e+00,1.450560e+03,-1.000000
