epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.264710e+02,2.902464e+04,3.930271e+00,2.082661e+03,3.798339
0.200000,7.804659e+01,1.007713e+04,2.156399e+00,5.809023e+02,5.058339
0.300000,5.869198e+01,5.565826e+03,1.695154e+00,3.322963e+02,5.778339
0.400000,4.843130e+01,3.812784e+03,1.596297e+00,2.400434e+02,6.268339
0.500000,4.220051e+01,2.940056e+03,1.254204e+00,1.630611e+02,6.608339
0.600000,3.788127e+01,2.413146e+03,1.189743e+00,1.546377e+02,6.868339
0.700000,3.480595e+01,2.082195e+03,1.240822e+00,1.503828e+02,7.058339
0.800000,3.477658e+01,2.062076e+03,1.087059e+00,1.405932e+02,7.068339
0.900000,3.477915e+01,2.067881e+03,1.074090e+00,1.308618e+02,7.068339
1.000000,3.486117e+01,2.074268e+03,1.049881e+00,1.327864e+02,7.068339
1.200000,3.466161e+01,2.074199e+03,1.008892e+00,1.231418e+02,7.068339
1.400000,3.475639e+01,2.079550e+03,1.107168e+00,1.226602e+02,7.068339
1.600000,3.447276e+01,2.039538e+03,1.014732e+00,1.361862e+02,7.068339
1.800000,3.489461e+01,2.080446e+03,1.126568e+00,1.295727e+02,7.068339
2.000000,3.486707e+01,2.075257e+03,9.782894e-01,1.332006e+02,7.068339
3.000000,3.496503e+01,2.093452e+03,1.049812e+00,1.339847e+02,7.068339
4.000000,3.454620e+01,2.054705e+03,1.173365e+00,1.356721e+02,7.068339
5.000000,3.457414e+01,2.056553e+03,1.035708e+00,1.221919e+02,7.068339
6.000000,3.476499e+01,2.056617e+03,1.245038e+00,1.495190e+02,7.068339
7.000000,3.467647e+01,2.061644e+03,1.077420e+00,1.337870e+02,7.068339
8.000000,2.463196e+01,1.122294e+03,8.503702e-01,9.455193e+01,8.000000
9.000000,1.906903e+01,7.725838e+02,6.394588e-01,7.130949e+01,9.000000
10.000000,1.607183e+01,6.485033e+02,6.024161e-01,6.686479e+01,10.000000
-1.000000,1.316781e+01,5.827534e+02,7.260350e-01,8.749021e+01,-1.000000
