epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,2.176339e+02,7.456458e+04,6.042822e+00,3.811062e+03,3.798339
0.200000,1.468580e+02,3.395088e+04,4.479388e+00,1.948618e+03,5.058339
0.300000,1.191627e+02,2.233531e+04,3.772363e+00,1.299274e+03,5.778339
0.400000,1.047030e+02,1.719939e+04,2.987866e+00,9.305833e+02,6.268339
0.500000,9.515551e+01,1.420036e+04,2.933187e+00,8.128831e+02,6.608339
0.600000,8.880457e+01,1.240672e+04,2.632144e+00,7.173449e+02,6.868339
0.700000,8.386227e+01,1.103902e+04,2.494798e+00,6.242861e+02,7.058339
0.800000,8.424388e+01,1.113001e+04,2.503362e+00,6.035292e+02,7.068339
0.900000,8.453270e+01,1.120472e+04,2.659311e+00,6.381162e+02,7.068339
1.000000,8.408498e+01,1.109025e+04,2.706545e+00,7.005311e+02,7.068339
1.200000,8.381529e+01,1.101202e+04,2.779567e+00,6.459902e+02,7.068339
1.400000,8.396088e+01,1.108078e+04,2.424047e+00,5.675730e+02,7.068339
1.600000,8.420860e+01,1.114011e+04,2.351470e+00,5.982180e+02,7.068339
1.800000,8.452771e+01,1.119791e+04,2.549283e+00,6.096376e+02,7.068339
2.000000,8.382133e+01,1.103214e+04,2.515420e+00,6.053826e+02,7.068339
3.000000,8.362419e+01,1.104308e+04,2.289096e+00,6.207296e+02,7.068339
4.000000,8.426964e+01,1.116019e+04,2.408816e+00,6.345640e+02,7.068339
5.000000,8.408249e+01,1.111624e+04,2.637897e+00,6.323966e+02,7.068339
6.000000,8.439221e+01,1.119971e+04,2.718971e+00,7.096851e+02,7.068339
7.000000,8.447217e+01,1.122484e+04,2.174834e+00,5.199783e+02,7.068339
8.000000,6.604942e+01,6.837137e+03,1.907834e+00,3.598492e+02,8.000000
9.000000,5.113269e+01,4.119081e+03,1.773465e+00,2.589783e+02,9.000000
10.000000,3.953217e+01,2.449568e+03,1.325394e+00,1.572423e+02,10.000000
-1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.000000
