epsilon,MAE_avg,MSE_avg,MAE_std,MSE_std,epsilon(local)
0.100000,1.580807e+02,4.020978e+04,6.850464e+00,3.440077e+03,5.671974
0.200000,9.220328e+01,1.540388e+04,3.518188e+00,1.457738e+03,6.961974
0.300000,7.162748e+01,1.048495e+04,3.056398e+00,1.611395e+03,7.691974
0.400000,6.212291e+01,8.903522e+03,2.813960e+00,1.357351e+03,8.181974
0.500000,5.688272e+01,8.144617e+03,2.639770e+00,1.538717e+03,8.531974
0.600000,5.344097e+01,7.651501e+03,2.536216e+00,1.412481e+03,8.791974
0.700000,5.141305e+01,7.478204e+03,2.185401e+00,1.260920e+03,8.981974
0.800000,5.098182e+01,7.184915e+03,2.402414e+00,1.246699e+03,8.991974
0.900000,5.144734e+01,7.350185e+03,2.416903e+00,1.407794e+03,8.991974
1.000000,5.065473e+01,7.096470e+03,2.551145e+00,1.273394e+03,8.991974
1.200000,5.134226e+01,7.394357e+03,2.333754e+00,1.235835e+03,8.991974
1.400000,5.166933e+01,7.644611e+03,2.890625e+00,1.679644e+03,8.991974
1.600000,5.189734e+01,7.701189e+03,2.515438e+00,1.508429e+03,8.991974
1.800000,5.128260e+01,7.366624e+03,2.560551e+00,1.514775e+03,8.991974
2.000000,5.085163e+01,7.157446e+03,2.775487e+00,1.273666e+03,8.991974
3.000000,5.103908e+01,7.321636e+03,2.887162e+00,1.522924e+03,8.991974
4.000000,5.073062e+01,7.234918e+03,2.558648e+00,1.379106e+03,8.991974
5.000000,5.124848e+01,7.237321e+03,2.624915e+00,1.432907e+03,8.991974
6.000000,5.119899e+01,7.266226e+03,2.524322e+00,1.325517e+03,8.991974
7.000000,5.152157e+01,7.400834e+03,2.616135e+00,1.577727e+03,8.991974
8.000000,5.074594e+01,7.080891e+03,2.566221e+00,1.429515e+03,8.991974
9.000000,5.069086e+01,7.125907e+03,2.829208e+00,1.408612e+03,9.000000
10.000000,4.305812e+01,6.483170e+03,2.676730e+00,1.554266e+03,10.000000
-1.000000,3.434705e+01,6.046837e+03,2.368947e+00,1.459076e+03,-1.000000
